Event_ID,Event,Day,Date,Course_ID,Instructor,Course_Name,Duration_Days,Room,Conflict,Configured
EV003,Virtual-Apr,3,4/22/2026,1724D,Sunny Faronbi,Lead with Emotional Intelligence,4,1,,Yes
EV003,Virtual-Apr,3,4/22/2026,1932D,Debra Howell,Rise Through Resilience,2,1,,Yes
EV003,Virtual-Apr,3,4/22/2026,2063D,April Callis-Birchmeier,Leading Change that Sticks; Drive Adoption and Results,3,1,,Yes
EV003,Virtual-Apr,3,4/22/2026,2092D,Erin Ramirez,Mastering Adaptability for Modern Project Success,2,1,,Yes
EV003,Virtual-Apr,4,4/23/2026,0582D,Scott Burd,Measure What Matters: Track Benefits Realization,2,1,,Yes
EV003,Virtual-Apr,4,4/23/2026,0951D,Drew Clark,Agile Leadership for Digital Transformation,1,1,,Yes
EV003,Virtual-Apr,4,4/23/2026,1132D,Jack Duggal,Become a Changemaker: Transform Organizations,2,1,,Yes
EV003,Virtual-Apr,4,4/23/2026,1602D,Brad Malone,Project Management Foundations: Launch Your Success,2,1,,Yes
EV003,Virtual-Apr,4,4/23/2026,1724D,Sunny Faronbi,Lead with Emotional Intelligence,4,1,,Yes
EV003,Virtual-Apr,4,4/23/2026,1932D,Debra Howell,Rise Through Resilience,2,1,,Yes
EV003,Virtual-Apr,4,4/23/2026,2092D,Erin Ramirez,Mastering Adaptability for Modern Project Success,2,1,,Yes
EV004,Chicago,1,5/11/2026,0032D,"Lisa Hammer, David Newman","Adapt, Adopt, and Accomplish for Project Management Success",2,1,,Yes
EV004,Chicago,1,5/11/2026,0402D,Jeff Panning,How to Capture Customer Requirements and Develop Project Scope,2,1,,Yes
EV004,Chicago,1,5/11/2026,0643D,Thomas Jarocki,"Orchestrate Total Success: People, Projects, Change",3,1,,Yes
EV004,Chicago,1,5/11/2026,0742D,April Callis-Birchmeier,Change Acceleration: Simplify and Succeed,2,1,,Yes
EV004,Chicago,1,5/11/2026,1022D,Traci Duez,Leadership Brilliance: Unlock Your Confidence and Courage,2,1,,Yes
EV004,Chicago,1,5/11/2026,1042D,Teresa Lawrence,PM Tools & Techniques: Facilitate Creative Solutions,2,1,,Yes
EV004,Chicago,1,5/11/2026,1402D,Esra Tepeli,Enterprise Risk Management: Master Complex Projects,2,1,,Yes
EV004,Chicago,1,5/11/2026,1813D,Bob Maiale,Plan and Control: Project Management Foundations,3,1,,Yes
EV004,Chicago,1,5/11/2026,2053D,"Joyce Brown, Thomas McCabe",Analyst’s Guide to Gathering Product and Project Requirements ,3,1,,Yes
EV004,Chicago,2,5/12/2026,0032D,"Lisa Hammer, David Newman","Adapt, Adopt, and Accomplish for Project Management Success",2,1,,Yes
EV004,Chicago,2,5/12/2026,0402D,Jeff Panning,How to Capture Customer Requirements and Develop Project Scope,2,1,,Yes
EV004,Chicago,2,5/12/2026,0643D,Thomas Jarocki,"Orchestrate Total Success: People, Projects, Change",3,1,,Yes
EV004,Chicago,2,5/12/2026,0742D,April Callis-Birchmeier,Change Acceleration: Simplify and Succeed,2,1,,Yes
EV004,Chicago,2,5/12/2026,1022D,Traci Duez,Leadership Brilliance: Unlock Your Confidence and Courage,2,1,,Yes
EV004,Chicago,2,5/12/2026,1042D,Teresa Lawrence,PM Tools & Techniques: Facilitate Creative Solutions,2,1,,Yes
EV004,Chicago,2,5/12/2026,1402D,Esra Tepeli,Enterprise Risk Management: Master Complex Projects,2,1,,Yes
EV004,Chicago,2,5/12/2026,1813D,Bob Maiale,Plan and Control: Project Management Foundations,3,1,,Yes
EV004,Chicago,2,5/12/2026,2053D,"Joyce Brown, Thomas McCabe",Analyst’s Guide to Gathering Product and Project Requirements ,3,1,,Yes
EV004,Chicago,3,5/13/2026,0082D,"Lisa Hammer, David Newman",Agile Fundamentals: Delivering Value,2,1,,Yes
EV004,Chicago,3,5/13/2026,0342D,Traci Duez,"Developing Your EQ to RISE (Reach, Inspire, Serve, and Engage)",2,1,,Yes
EV004,Chicago,3,5/13/2026,0643D,Thomas Jarocki,"Orchestrate Total Success: People, Projects, Change",3,1,,Yes
EV004,Chicago,3,5/13/2026,0784H,Teresa Lawrence,"Solve the Problem, Not the Symptom",0.5,1,,Yes
EV004,Chicago,3,5/13/2026,1813D,Bob Maiale,Plan and Control: Project Management Foundations,3,1,,Yes
EV004,Chicago,3,5/13/2026,1972D,Christine Aykac,Adaptive PMO: Mastering Agile Transformation,2,1,,Yes
EV004,Chicago,3,5/13/2026,2053D,"Joyce Brown, Thomas McCabe",Analyst’s Guide to Gathering Product and Project Requirements ,3,1,,Yes
EV004,Chicago,3,5/13/2026,2092D,Erin Ramirez,Mastering Adaptability for Modern Project Success,2,1,,Yes
EV004,Chicago,4,5/14/2026,0082D,"Lisa Hammer, David Newman",Agile Fundamentals: Delivering Value,2,1,,Yes
